gene	pLI	LOEUF
A1BG	1.7706e-16	1.34
A1CF	7.656e-10	0.825
A2M	9.7568e-20	0.765
A2ML1	1.7126999999999998e-40	0.953
A3GALT2	1.0169e-06	1.529
A4GALT	0.075507	1.393
A4GNT	0.019136	1.375
AAAS	8.9231e-16	0.921
AACS	8.8541e-18	0.967
AADAC	6.3501e-05	1.126
AADACL2	6.9637e-08	1.529
AADACL3	0.0017704	1.25
AADACL4	0.011751	1.063
AADAT	0.46289	0.625
AAGAB	1.5706e-08	1.156
AAK1	0.99999	0.406
AAMDC	1.0899e-05	1.571
AAMP	0.99998	0.372
AANAT	0.00068842	1.283
AAR2	5.4204e-12	1.472
AARD	0.00042882	1.719
AARS1	4.04e-14	0.772
AARS2	1.8233e-15	0.752
AARSD1	2.3928e-14	1.122
AASDH	3.2904e-18	0.946
AASDHPPT	0.021762	0.754
AASS	4.5130999999999994e-21	0.948
AATF	2.9704e-13	1.033
AATK	5.3635e-39	1.574
ABAT	1.1757e-10	0.871
ABCA1	2.3118e-12	0.563
ABCA10	8.7244e-43	1.044
ABCA12	4.8142e-17	0.582
ABCA13	3.0027e-140	1.063
ABCA2	0.99999	0.436
ABCA3	1.0831e-10	0.612
ABCA4	3.4822e-43	0.786
ABCA5	1.7677000000000002e-24	0.97
ABCA6	2.9592e-33	1.041
ABCA7	7.922e-103	1.368
ABCA8	9.1537e-44	1.086
ABCA9	1.1383e-40	1.006
ABCB1	1.891e-05	0.575
ABCB10	3.0297e-17	1.142
ABCB11	9.5597e-15	0.739
ABCB4	1.7893e-08	0.623
ABCB5	2.1065e-45	1.178
ABCB6	2.0017000000000002e-25	0.984
ABCB8	7.4398e-13	0.894
ABCB9	2.9429e-07	0.796
ABCC1	1.2436e-06	0.564
ABCC10	1.7526000000000002e-29	0.894
ABCC11	4.0979e-38	1.004
ABCC12	9.7791e-42	1.022
ABCC2	1.5473000000000002e-45	0.985
ABCC3	2.7121999999999997e-28	0.831
ABCC4	7.0811e-11	0.647
ABCC5	0.99932	0.455
ABCC6	1.2351e-33	0.917
ABCC8	9.534400000000001e-33	0.829
ABCC9	7.2745e-06	0.557
ABCD2	7.7494e-05	0.714
ABCD3	0.99014	0.484
ABCD4	4.0217e-10	0.772
ABCE1	0.99654	0.466
ABCF1	7.1408e-12	0.69
ABCF2	0.0033779	0.61
ABCF3	1.1095e-12	0.776
ABCG1	0.19578	0.573
ABCG2	5.0723e-29	1.308
ABCG4	3.483e-05	0.694
ABCG5	8.1322e-20	1.219
ABCG8	5.1931e-31	1.329
ABHD1	1.8338e-17	1.359
ABHD10	1.2175e-05	1.037
ABHD11	1.8944e-08	1.194
ABHD12	7.5081e-10	0.967
ABHD12B	5.0333e-12	1.148
ABHD13	0.97685	0.504
ABHD14A	1.3328e-05	1.081
ABHD14B	7.686e-09	1.789
ABHD15	2.9886e-13	1.479
ABHD16A	4.0184e-07	0.686
ABHD16B	3.4725e-09	1.955
ABHD17A	0.21099	0.783
ABHD17B	0.85835	0.579
ABHD17C	0.012876	0.919
ABHD18	1.0028e-06	1.028
ABHD2	0.5507	0.57
ABHD3	2.0979e-15	1.211
ABHD4	9.7984e-10	1.038
ABHD5	3.4236e-07	0.922
ABHD6	1.7139e-08	1.067
ABHD8	0.25012	0.664
ABI1	0.9998	0.41
ABI2	0.44932	0.585
ABI3	2.651e-07	1.113
ABI3BP	9.7143e-43	0.945
ABITRAM	8.0601e-05	1.175
ABL1	1.0	0.19
ABL2	0.0010035	0.578
ABLIM1	0.69623	0.515
ABLIM2	7.759e-10	0.743
